DATE,සදුදා,සදුදා,Monday
DATE,අඟහරැවදා,අඟහරැවදා,Tuesday
DATE,බදාදා,බදාදා,Wednesday
DATE,බ්‍රහස්‍පතින්‍දා,බ්‍රහස්‍පතින්‍දා,Thursday
DATE,සිකුරාදා,සිකුරාදා,Friday
DATE,සෙනසුරාදා,සෙනසුරාදා,Saturday
DATE,ඉරිදා,ඉරිදා,Sunday
DATE,ජනවාරි,ජනවාරි,January
DATE,පෙබරවාරි,පෙබරවාරි,February
DATE,මාර්තු,මාර්තු,March
DATE,අප්‍රේල්,අප්‍රේල්,April
DATE,මැයි,මැයි,May
DATE,ජුනි,ජුනි,June
DATE,ජුලි,ජුලි,July
DATE,අගෝස්තු,අගෝස්තු,August
DATE,සැප්තැම්බර්,සැප්තැම්බර්,September
DATE,ඔක්තෝබර්,ඔක්තෝබර්,October
DATE,නොවැම්බර්,නොවැම්බර්,November
DATE,දෙසැම්බර්,දෙසැම්බර්,December